TransactionID,CustomerID,Amount,Date,Time,Merchant,Location,TransactionType,AccountBalance,DeviceID
TXN004108,CUST0002,1101.4,2026-06-19,02:07:01,Grocery,Germany,Online,40196.45,DEV4657
TXN002842,CUST0002,829.17,2026-06-19,12:39:01,ATM Withdrawal,Singapore,Wire Transfer,22014.39,DEV4657
TXN002609,CUST0002,29367.29,2026-06-21,03:44:01,Electronics,North Korea,Wire Transfer,14421.98,DEV5012
TXN001263,CUST0002,2602.52,2026-06-22,15:44:01,Jewelry,Germany,POS,78521.23,DEV4657
TXN004269,CUST0002,609.44,2026-06-23,05:06:01,Grocery,Singapore,ATM,20383.86,DEV4657
TXN004129,CUST0002,2355.19,2026-06-24,02:20:01,Jewelry,UK,POS,15750.72,DEV5012
TXN004785,CUST0002,1144.79,2026-06-24,08:17:01,Jewelry,India,POS,66339.14,DEV5012
TXN004347,CUST0002,2316.35,2026-06-25,04:44:01,Dining,Australia,ATM,16572.47,DEV4657
TXN004309,CUST0002,1919.45,2026-06-29,11:50:01,Fuel,Singapore,Mobile Payment,92343.41,DEV5012
TXN002746,CUST0002,738.67,2026-06-29,13:36:01,Jewelry,Australia,Mobile Payment,56524.41,DEV4657
TXN003191,CUST0002,1177.34,2026-06-30,09:35:01,Electronics,India,Online,73321.74,DEV4657
TXN004710,CUST0003,2909.81,2026-06-01,03:12:01,Entertainment,Singapore,POS,89086.87,DEV2679
TXN002696,CUST0003,153.67,2026-06-02,22:22:01,Fuel,USA,Online,20152.75,DEV2679
TXN000973,CUST0003,2456.58,2026-06-04,12:05:01,Electronics,Australia,Online,14783.78,DEV2679
TXN001947,CUST0003,1067.63,2026-06-05,08:41:01,Electronics,USA,ATM,46732.43,DEV2679
TXN002112,CUST0003,2664.01,2026-06-05,22:11:01,Travel,India,Wire Transfer,14814.56,DEV2679
TXN001191,CUST0003,210.47,2026-06-05,22:48:01,Fuel,India,Online,20727.5,DEV2679
TXN001940,CUST0003,772.76,2026-06-07,06:38:01,Travel,Germany,ATM,11471.02,DEV2679
TXN000831,CUST0003,2990.56,2026-06-10,06:08:01,Utilities,Germany,POS,47728.4,DEV2679
TXN002893,CUST0003,2139.51,2026-06-17,21:00:01,Utilities,India,Wire Transfer,36695.69,DEV2679
TXN002673,CUST0003,1823.7,2026-06-21,15:34:01,Jewelry,UK,Mobile Payment,14175.0,DEV2679
TXN000534,CUST0003,2372.68,2026-06-23,03:34:01,Fuel,UK,Mobile Payment,55449.37,DEV2679
TXN004546,CUST0003,40671.22,2026-06-25,01:12:01,Travel,UAE,Wire Transfer,59211.35,DEV2679
TXN002158,CUST0003,2559.97,2026-06-28,11:26:01,Fuel,Germany,Online,64985.51,DEV2679
TXN002414,CUST0003,941.33,2026-06-28,19:03:01,Electronics,UK,Mobile Payment,28352.85,DEV2679
TXN003830,CUST0003,484.95,2026-07-01,15:47:01,Electronics,USA,ATM,64057.23,DEV2679
TXN004727,CUST0003,2177.76,2026-07-01,16:13:01,Jewelry,Australia,ATM,83455.2,DEV2679
TXN002071,CUST0004,2581.94,2026-05-31,23:18:01,Jewelry,Singapore,Mobile Payment,68751.12,DEV7912
TXN000371,CUST0004,168.66,2026-06-01,06:27:01,Dining,India,ATM,75268.32,DEV7912
TXN001724,CUST0004,439.45,2026-06-01,06:52:01,Travel,UAE,Online,23166.91,DEV7912
TXN000256,CUST0004,1199.95,2026-06-01,20:08:01,ATM Withdrawal,UK,Wire Transfer,42933.95,DEV7912
TXN000597,CUST0004,2383.15,2026-06-02,04:10:01,Utilities,Germany,Online,83699.86,DEV7912
TXN000877,CUST0004,2751.48,2026-06-03,15:03:01,Utilities,Germany,POS,52335.17,DEV7912
TXN004524,CUST0004,228.17,2026-06-05,11:41:01,Online Shopping,Australia,POS,12589.57,DEV7912
TXN004040,CUST0004,1915.83,2026-06-05,15:52:01,Travel,UAE,ATM,63395.61,DEV7912
TXN002196,CUST0004,1767.26,2026-06-06,01:16:01,Electronics,Australia,Online,95480.64,DEV7912
TXN001469,CUST0004,1503.78,2026-06-06,04:31:01,Jewelry,UAE,ATM,46330.55,DEV7912
TXN003243,CUST0004,2658.23,2026-06-06,14:15:01,Utilities,UK,Mobile Payment,47863.73,DEV7912
TXN003482,CUST0004,2941.88,2026-06-07,15:25:01,ATM Withdrawal,UAE,Online,79958.02,DEV7912
TXN001120,CUST0004,179.4,2026-06-07,19:22:01,Travel,Germany,ATM,5328.22,DEV7912
TXN002265,CUST0004,311.79,2026-06-07,19:27:01,Jewelry,India,Wire Transfer,72249.82,DEV7912
TXN001320,CUST0004,2964.69,2026-06-07,20:44:01,Entertainment,India,Wire Transfer,98353.51,DEV7912
TXN001983,CUST0004,1110.15,2026-06-08,22:33:01,Utilities,UAE,POS,27303.81,DEV7912
TXN000641,CUST0004,2624.16,2026-06-12,03:46:01,Dining,India,Wire Transfer,74411.24,DEV7912
TXN004580,CUST0004,2632.88,2026-06-12,16:54:01,ATM Withdrawal,USA,Mobile Payment,72396.6,DEV7912
TXN002669,CUST0004,2016.0,2026-06-14,14:32:01,ATM Withdrawal,Australia,Wire Transfer,20845.66,DEV7912
TXN002738,CUST0004,69.24,2026-06-16,14:30:01,Fuel,USA,Online,90565.15,DEV7912
TXN004025,CUST0004,471.16,2026-06-19,03:23:01,Grocery,Germany,Wire Transfer,38903.3,DEV7912
TXN003229,CUST0004,1821.93,2026-06-26,17:02:01,Online Shopping,Germany,Wire Transfer,47342.17,DEV7912
TXN000737,CUST0004,2911.86,2026-06-26,19:02:01,Grocery,Australia,Online,48630.6,DEV7912
TXN003808,CUST0004,2584.89,2026-06-26,21:31:01,Grocery,USA,ATM,72119.09,DEV7912
TXN004323,CUST0004,2150.02,2026-06-27,23:33:01,Grocery,UK,ATM,40320.63,DEV7912
TXN000005,CUST0005,1953.93,2026-06-02,05:32:01,Grocery,Australia,POS,95011.56,DEV1488
TXN001301,CUST0005,2396.85,2026-06-02,11:13:01,ATM Withdrawal,Australia,Wire Transfer,28982.0,DEV1488
TXN002087,CUST0005,497.65,2026-06-02,19:36:01,ATM Withdrawal,UK,Online,79787.93,DEV1488
TXN001710,CUST0005,1481.36,2026-06-03,18:13:01,Entertainment,UAE,Wire Transfer,92385.92,DEV1488
TXN003087,CUST0005,2506.33,2026-06-05,05:51:01,Jewelry,UK,ATM,76083.75,DEV1488
TXN003081,CUST0005,2138.64,2026-06-08,18:04:01,ATM Withdrawal,India,Online,5921.97,DEV1488
TXN001462,CUST0005,2012.23,2026-06-10,09:19:01,Jewelry,UAE,Mobile Payment,7728.19,DEV1488
TXN002442,CUST0005,1516.86,2026-06-11,20:41:01,Electronics,India,ATM,95534.39,DEV1488
TXN000505,CUST0005,913.96,2026-06-12,05:58:01,Fuel,Singapore,POS,62953.44,DEV1488
TXN003174,CUST0005,1745.05,2026-06-14,06:34:01,Grocery,India,Mobile Payment,29452.04,DEV1488
TXN003728,CUST0005,2337.98,2026-06-17,08:47:01,Dining,USA,Online,33303.66,DEV1488
TXN002711,CUST0005,2299.41,2026-06-18,18:53:01,Dining,UK,Online,50055.22,DEV1488
TXN001354,CUST0005,1523.3,2026-06-19,04:16:01,ATM Withdrawal,UAE,ATM,75920.29,DEV1488
TXN002240,CUST0005,2405.08,2026-06-22,16:35:01,Electronics,UAE,POS,11006.46,DEV1488
TXN003559,CUST0005,999.49,2026-06-23,04:13:01,Utilities,UK,ATM,55194.5,DEV1488
TXN000195,CUST0005,2420.44,2026-06-23,15:45:01,Electronics,USA,POS,52914.15,DEV1488
TXN002735,CUST0005,1904.52,2026-06-23,22:39:01,ATM Withdrawal,India,Wire Transfer,83725.7,DEV1488
TXN002881,CUST0005,2749.81,2026-06-24,15:28:01,ATM Withdrawal,USA,Wire Transfer,64868.83,DEV1488
TXN001744,CUST0005,2043.51,2026-06-25,10:07:01,Fuel,Australia,Online,1752.63,DEV1488
TXN001657,CUST0005,2774.68,2026-06-25,15:12:01,Travel,USA,POS,7010.46,DEV1488
TXN002271,CUST0005,2277.55,2026-06-26,03:45:01,Online Shopping,Australia,ATM,42862.3,DEV1488
TXN003975,CUST0005,1162.67,2026-06-26,07:18:01,Electronics,UK,ATM,63591.96,DEV1488
TXN002397,CUST0005,970.98,2026-06-26,12:49:01,ATM Withdrawal,UAE,Wire Transfer,14107.13,DEV1488
TXN003431,CUST0005,1804.49,2026-06-30,16:24:01,Travel,India,Mobile Payment,22780.32,DEV1488
TXN002118,CUST0005,885.42,2026-07-01,05:42:01,Fuel,Singapore,Mobile Payment,19966.61,DEV1488
TXN001117,CUST0006,1828.34,2026-06-01,00:52:01,Grocery,Germany,Mobile Payment,48735.16,DEV4582
TXN000289,CUST0006,1846.26,2026-06-01,05:16:01,Travel,Australia,ATM,71976.83,DEV4582
TXN002897,CUST0006,1153.51,2026-06-04,17:05:01,Jewelry,UAE,Mobile Payment,10235.06,DEV4582
TXN002333,CUST0006,1980.64,2026-06-05,08:49:01,Jewelry,UK,ATM,40623.09,DEV4582
TXN003287,CUST0006,2292.27,2026-06-06,02:20:01,Online Shopping,USA,ATM,34437.36,DEV4582
TXN000006,CUST0006,2011.68,2026-06-07,22:48:01,Dining,Singapore,Wire Transfer,70247.03,DEV4582
TXN001259,CUST0006,1880.23,2026-06-07,23:54:01,Electronics,UAE,ATM,3249.23,DEV4582
TXN001529,CUST0006,2023.2,2026-06-09,01:14:01,ATM Withdrawal,Germany,ATM,32885.92,DEV4582
TXN000545,CUST0006,637.44,2026-06-10,15:15:01,Dining,USA,ATM,28388.3,DEV4582
TXN002839,CUST0006,2559.17,2026-06-12,00:06:01,ATM Withdrawal,UAE,Mobile Payment,98880.92,DEV4582
TXN004666,CUST0006,415.68,2026-06-12,01:12:01,Grocery,Germany,Online,83718.93,DEV4582
TXN003708,CUST0006,45.84,2026-06-12,18:22:01,Electronics,UK,Online,13073.91,DEV4582
TXN002847,CUST0006,884.67,2026-06-13,10:00:01,Travel,Singapore,Online,29124.57,DEV4582
TXN002672,CUST0006,1625.37,2026-06-17,00:02:01,Entertainment,Germany,POS,70033.87,DEV4582
TXN001364,CUST0006,2688.57,2026-06-18,14:21:01,Travel,Germany,POS,68518.69,DEV4582
TXN000913,CUST0006,2084.24,2026-06-19,09:35:01,Utilities,India,Online,39012.03,DEV4582
TXN004435,CUST0006,1159.62,2026-06-19,15:37:01,ATM Withdrawal,Australia,ATM,89807.01,DEV4582
TXN000223,CUST0006,2402.15,2026-06-20,22:01:01,Dining,UAE,Mobile Payment,18270.87,DEV4582
TXN003440,CUST0006,332.13,2026-06-23,06:58:01,Jewelry,Australia,Mobile Payment,5791.83,DEV4582
TXN001178,CUST0006,46353.86,2026-06-27,04:56:01,Dining,Iran,Mobile Payment,86071.0,DEV4582
TXN003003,CUST0006,1456.11,2026-06-28,03:28:01,Utilities,Germany,Mobile Payment,89209.04,DEV4582
TXN004286,CUST0006,2048.5,2026-06-29,12:57:01,Jewelry,UAE,ATM,61091.22,DEV4582
TXN001111,CUST0006,2486.16,2026-07-01,04:17:01,Online Shopping,Germany,POS,87371.81,DEV4582
TXN001820,CUST0007,2461.24,2026-06-02,10:47:01,Travel,Singapore,POS,9813.26,DEV9279
TXN001150,CUST0007,2601.97,2026-06-02,22:50:01,Jewelry,Germany,ATM,13617.85,DEV9279
TXN001948,CUST0007,1340.3,2026-06-04,19:16:01,Online Shopping,India,Online,23339.33,DEV9279
TXN004858,CUST0007,1993.69,2026-06-05,12:12:01,Jewelry,India,Wire Transfer,14889.21,DEV9279
TXN003222,CUST0007,1259.53,2026-06-06,00:16:01,Grocery,Australia,Mobile Payment,13466.41,DEV9279
TXN000828,CUST0007,236.91,2026-06-08,02:59:01,Fuel,India,Mobile Payment,51766.31,DEV9279
TXN003837,CUST0007,2784.34,2026-06-08,18:37:01,Electronics,USA,POS,90822.57,DEV9279
TXN002831,CUST0007,1853.34,2026-06-11,06:38:01,Utilities,USA,Mobile Payment,99017.58,DEV9279
TXN002359,CUST0007,2546.0,2026-06-11,14:38:01,Fuel,Australia,Mobile Payment,14666.98,DEV9279
TXN001993,CUST0007,1562.24,2026-06-12,04:59:01,Grocery,India,POS,92156.71,DEV9279
TXN001409,CUST0007,525.3,2026-06-13,13:00:01,Utilities,UAE,Online,64482.58,DEV9279
TXN004697,CUST0007,1269.43,2026-06-13,16:29:01,Electronics,UK,POS,31918.61,DEV9279
TXN003694,CUST0007,330.69,2026-06-16,03:39:01,Jewelry,USA,Online,40788.38,DEV9279
TXN002725,CUST0007,2330.05,2026-06-21,07:14:01,Travel,UAE,Wire Transfer,92507.52,DEV9279
TXN004840,CUST0007,2129.9,2026-06-22,06:07:01,Online Shopping,UAE,Wire Transfer,82076.73,DEV9279
TXN004769,CUST0007,2629.26,2026-06-25,00:57:01,Online Shopping,UAE,POS,70883.88,DEV9279
TXN000383,CUST0007,2410.42,2026-06-27,05:50:01,Entertainment,Germany,POS,30346.96,DEV9279
TXN004868,CUST0007,80.13,2026-06-27,19:18:01,Entertainment,Germany,ATM,34417.58,DEV9279
TXN002968,CUST0007,2846.26,2026-06-28,04:29:01,Jewelry,UAE,Online,89795.75,DEV9279
TXN003342,CUST0007,1899.33,2026-06-29,15:35:01,Fuel,UK,ATM,84912.36,DEV9279
TXN001648,CUST0008,1998.0,2026-05-31,19:07:01,Grocery,India,POS,32927.16,DEV4257
TXN001158,CUST0008,2398.99,2026-06-02,11:52:01,Entertainment,India,POS,37584.52,DEV4257
TXN003520,CUST0008,432.05,2026-06-02,18:14:01,ATM Withdrawal,UK,Online,87065.58,DEV4257
TXN003621,CUST0008,1048.01,2026-06-02,20:01:01,Utilities,UK,POS,77670.74,DEV4257
TXN003321,CUST0008,1562.52,2026-06-03,03:15:01,Jewelry,Australia,ATM,6745.11,DEV4257
TXN001737,CUST0008,1629.89,2026-06-06,03:15:01,Online Shopping,Australia,ATM,27563.92,DEV4257
TXN002361,CUST0008,192.96,2026-06-07,00:11:01,Jewelry,India,Online,58210.16,DEV4257
TXN003904,CUST0008,102.79,2026-06-07,06:52:01,Utilities,Singapore,POS,37023.8,DEV4257
TXN000784,CUST0008,1666.69,2026-06-07,18:35:01,Electronics,Singapore,Online,76534.85,DEV4257
TXN000710,CUST0008,1358.42,2026-06-09,01:57:01,Online Shopping,USA,Mobile Payment,68742.44,DEV4257
TXN000647,CUST0008,1800.69,2026-06-09,09:22:01,Utilities,UK,Wire Transfer,56991.88,DEV4257
TXN004800,CUST0008,2013.35,2026-06-10,04:34:01,ATM Withdrawal,USA,Mobile Payment,88456.73,DEV4257
TXN001596,CUST0008,2423.75,2026-06-13,07:24:01,Jewelry,Australia,Online,17584.78,DEV4257
TXN003747,CUST0008,2619.85,2026-06-16,04:20:01,ATM Withdrawal,UAE,POS,59005.02,DEV4257
TXN003917,CUST0008,1514.06,2026-06-20,01:54:01,Jewelry,UAE,Online,71672.87,DEV4257
TXN000121,CUST0008,1320.14,2026-06-20,16:08:01,Electronics,USA,Online,78073.02,DEV4257
TXN002487,CUST0008,216.8,2026-06-25,03:05:01,Utilities,UK,POS,58804.3,DEV4257
TXN000046,CUST0008,1081.81,2026-06-25,19:36:01,Travel,Germany,Online,53585.47,DEV4257
TXN000204,CUST0008,692.13,2026-06-26,08:49:01,Jewelry,Singapore,Wire Transfer,19388.05,DEV4257
TXN004410,CUST0008,420.01,2026-06-26,11:55:01,Grocery,India,ATM,98511.58,DEV4257
TXN001471,CUST0008,2791.18,2026-06-27,18:35:01,Entertainment,UK,Wire Transfer,73146.07,DEV4257
TXN003293,CUST0008,12275.64,2026-06-28,03:15:01,Online Shopping,Australia,Mobile Payment,84190.22,DEV4257
TXN001736,CUST0008,2983.47,2026-06-28,06:06:01,Utilities,Germany,ATM,68875.63,DEV4257
TXN003529,CUST0008,1009.02,2026-06-28,10:48:01,Entertainment,Australia,POS,48607.65,DEV4257
TXN004027,CUST0008,1905.32,2026-06-29,02:17:01,ATM Withdrawal,USA,Mobile Payment,10919.59,DEV4257
TXN004907,CUST0008,2203.54,2026-06-29,11:56:01,Utilities,USA,POS,86359.16,DEV4257
TXN004072,CUST0008,460.48,2026-06-29,23:50:01,Dining,Germany,ATM,67106.05,DEV4257
TXN000506,CUST0008,463.61,2026-07-01,02:32:01,Travel,Germany,POS,73259.08,DEV4257
TXN001799,CUST0009,1095.93,2026-06-03,18:57:01,Entertainment,Germany,Mobile Payment,91506.45,DEV8359
TXN001027,CUST0009,41751.82,2026-06-05,03:11:01,Online Shopping,Australia,Online,95956.9,DEV8359
TXN001319,CUST0009,1623.03,2026-06-05,07:20:01,Utilities,Australia,Mobile Payment,17804.28,DEV4611
TXN004155,CUST0009,1044.06,2026-06-06,05:00:01,Electronics,UK,Wire Transfer,80233.51,DEV8359
TXN003745,CUST0009,1048.54,2026-06-06,22:30:01,Utilities,UK,Online,82722.24,DEV4611
TXN002248,CUST0009,2810.99,2026-06-07,04:16:01,Electronics,Australia,Online,11586.84,DEV8359
TXN002027,CUST0009,36456.42,2026-06-08,02:38:01,Grocery,Singapore,Mobile Payment,74172.36,DEV8359
TXN004903,CUST0009,1392.8,2026-06-10,16:07:01,Utilities,USA,POS,63306.19,DEV4611
TXN004484,CUST0009,2683.61,2026-06-10,19:23:01,Dining,UAE,POS,71065.43,DEV8359
TXN001572,CUST0009,2087.78,2026-06-11,15:28:01,Entertainment,Australia,ATM,95218.75,DEV8359
TXN001128,CUST0009,1830.13,2026-06-11,19:16:01,Fuel,UK,Mobile Payment,22437.87,DEV4611
TXN002584,CUST0009,1056.21,2026-06-12,21:28:01,Utilities,Australia,POS,12245.27,DEV4611
TXN003387,CUST0009,600.57,2026-06-14,18:35:01,Dining,USA,POS,63593.32,DEV4611
TXN004781,CUST0009,879.88,2026-06-16,05:55:01,Grocery,UK,POS,88847.74,DEV8359
TXN004037,CUST0009,780.32,2026-06-17,10:38:01,Dining,Germany,ATM,73117.95,DEV8359
TXN003162,CUST0009,1738.33,2026-06-17,16:27:01,Fuel,USA,Mobile Payment,14792.22,DEV8359
TXN003168,CUST0009,1617.92,2026-06-20,04:02:01,Travel,UK,Online,43498.17,DEV4611
TXN002469,CUST0009,947.61,2026-06-20,05:10:01,Fuel,Australia,Mobile Payment,70517.83,DEV4611
TXN003208,CUST0009,1110.75,2026-06-23,05:38:01,Entertainment,UAE,POS,91411.45,DEV4611
TXN003403,CUST0009,1989.94,2026-06-23,20:19:01,Entertainment,UAE,Online,38636.77,DEV8359
TXN002710,CUST0009,432.34,2026-06-24,16:00:01,Jewelry,Singapore,POS,9549.71,DEV8359
TXN004740,CUST0009,269.38,2026-06-26,17:58:01,Entertainment,India,POS,16854.1,DEV8359
TXN001568,CUST0009,2060.13,2026-06-27,06:01:01,Online Shopping,Australia,Mobile Payment,9664.5,DEV4611
TXN001098,CUST0009,1338.99,2026-06-29,15:57:01,Travel,UK,Wire Transfer,88359.99,DEV8359
TXN001232,CUST0009,498.99,2026-07-01,07:29:01,ATM Withdrawal,UAE,POS,47027.35,DEV4611
TXN001916,CUST0010,2326.3,2026-06-01,22:40:01,Utilities,UAE,Wire Transfer,22956.12,DEV1106
TXN003123,CUST0010,2656.05,2026-06-03,22:17:01,Electronics,Germany,Mobile Payment,70644.94,DEV3615
TXN003209,CUST0010,230.19,2026-06-04,09:34:01,Fuel,Germany,ATM,93764.76,DEV3615
TXN003216,CUST0010,42116.44,2026-06-06,04:05:01,Travel,Germany,Wire Transfer,89089.41,DEV1106
TXN001750,CUST0010,1851.0,2026-06-06,08:42:01,Utilities,India,Mobile Payment,47815.88,DEV1106
TXN003119,CUST0010,849.89,2026-06-09,18:21:01,ATM Withdrawal,UK,Wire Transfer,46924.04,DEV3615
TXN003833,CUST0010,403.11,2026-06-10,01:04:01,Online Shopping,USA,Online,67686.07,DEV1106
TXN004964,CUST0010,1086.36,2026-06-10,22:24:01,Electronics,UAE,ATM,68122.95,DEV1106
TXN001535,CUST0010,693.45,2026-06-11,20:06:01,Travel,UAE,POS,61929.55,DEV1106
TXN001132,CUST0010,759.03,2026-06-12,03:00:01,Utilities,UAE,POS,13306.33,DEV3615
TXN000160,CUST0010,2810.46,2026-06-13,09:29:01,Fuel,Australia,POS,1917.45,DEV1106
TXN003111,CUST0010,2237.07,2026-06-13,18:54:01,Grocery,Australia,Wire Transfer,45870.3,DEV3615
TXN002598,CUST0010,2912.17,2026-06-16,03:57:01,Jewelry,UAE,POS,78463.28,DEV3615
TXN003534,CUST0010,1618.15,2026-06-17,01:06:01,Fuel,UAE,Wire Transfer,53559.9,DEV3615
TXN002138,CUST0010,533.5,2026-06-17,12:14:01,Electronics,Singapore,ATM,79645.99,DEV3615
TXN003362,CUST0010,228.22,2026-06-17,13:35:01,Grocery,UAE,Wire Transfer,73044.41,DEV1106
TXN003219,CUST0010,934.92,2026-06-19,00:34:01,Entertainment,India,Wire Transfer,60314.13,DEV1106
TXN004518,CUST0010,1416.23,2026-06-19,15:33:01,Grocery,Singapore,ATM,28982.66,DEV1106
TXN003765,CUST0010,1912.93,2026-06-21,04:01:01,Online Shopping,Singapore,Online,79521.02,DEV1106
TXN004298,CUST0010,1521.78,2026-06-21,12:59:01,Entertainment,Australia,POS,47158.48,DEV1106
TXN002720,CUST0010,2026.29,2026-06-22,11:31:01,Dining,UAE,POS,86339.78,DEV3615
TXN001492,CUST0010,763.95,2026-06-24,20:48:01,Electronics,India,Online,72703.58,DEV1106
TXN001162,CUST0010,1568.68,2026-06-30,17:08:01,ATM Withdrawal,USA,POS,94969.07,DEV1106
TXN003571,CUST0010,1643.5,2026-07-01,10:50:01,Grocery,UAE,POS,4307.78,DEV3615
TXN004422,CUST0011,2142.5,2026-06-01,18:36:01,Online Shopping,UK,ATM,62703.74,DEV5552
TXN002421,CUST0011,361.28,2026-06-02,16:03:01,Utilities,UAE,POS,54544.29,DEV5552
TXN003988,CUST0011,672.46,2026-06-04,07:24:01,Grocery,UK,Wire Transfer,59153.14,DEV6574
TXN002957,CUST0011,1124.86,2026-06-07,09:36:01,Jewelry,Australia,POS,13143.46,DEV6574
TXN001176,CUST0011,1898.35,2026-06-09,18:32:01,Dining,UAE,POS,27973.37,DEV6574
TXN001005,CUST0011,2572.43,2026-06-10,06:44:01,Travel,UAE,Wire Transfer,37306.49,DEV5552
TXN000115,CUST0011,2967.48,2026-06-10,10:43:01,Entertainment,Singapore,ATM,4625.46,DEV6574
TXN002113,CUST0011,2706.18,2026-06-10,11:56:01,ATM Withdrawal,India,Online,27785.4,DEV5552
TXN003680,CUST0011,883.42,2026-06-11,00:08:01,Grocery,UAE,POS,24869.1,DEV6574
TXN004795,CUST0011,2347.11,2026-06-11,06:42:01,ATM Withdrawal,Australia,Wire Transfer,13980.88,DEV6574
TXN000382,CUST0011,2390.66,2026-06-11,07:16:01,Jewelry,India,ATM,54483.49,DEV5552
TXN000378,CUST0011,2323.25,2026-06-11,13:21:01,Utilities,UAE,ATM,49564.54,DEV5552
TXN004987,CUST0011,2790.37,2026-06-13,02:15:01,Grocery,Germany,Online,49030.29,DEV6574
